,name,amount,unit,optional
0,"['dried black eyed peas', 'thick cut bacon', 'extra virgin olive oil', 'diced onion', 'diced carrots', 'ribs diced celery', 'frozen chopped collard greens', 'garlic', 'low sodium chicken broth', 'smoked ham hock', 'rice blend', 'salt and freshly ground black pepper']","[1.0, 5.0, 2.0, 1.0, 2.0, 2.0, 1.5, 3.0, 4.0, 1.0, 0.5, 1.0]","['pound', 'slice', 'tablespoon', 'large', 'large', 'whole', 'cup', 'clove', 'cup', 'whole', 'cup', 'to taste']","[False, False, False, False, False, False, False, False, False, False, False, True]"
1,"['salt and freshly cracked black pepper', 'spaghetti', 'extra virgin olive oil', 'grated Pecorino Romano', 'grated Parmigiano Reggiano']","[1.0, 1.0, 0.25, 1.0, 0.5]","['to taste', 'pound', 'cup', 'cup', 'cup']","[True, False, False, False, False]"
2,"['unsalted butter', 'bag mini marshmallows', 'pure vanilla extract', 'salt', 'puffed chocolate cereal', 'crushed pretzels', 'semisweet chocolate', 'coconut oil']","[6.0, 10.0, 1.0, 1.0, 8.0, 2.0, 2.0, 1.0]","['tablespoon', 'whole', 'teaspoon', 'to taste', 'cup', 'cup', 'ounce', 'teaspoon']","[False, False, False, True, False, False, False, False]"
3,"['dried navy beans', 'ham', 'russet potato', 'salt', 'milk', 'unsalted butter', 'onion', 'celery', 'garlic', 'chopped fresh parsley', 'ground pepper']","[1.0, 1.0, 1.0, 1.0, 0.5, 2.0, 1.0, 1.0, 2.0, 0.25, 1.0]","['pound', 'pound', 'large', 'to taste', 'cup', 'tablespoon', 'large', 'stalk', 'clove', 'cup', 'to taste']","[False, False, False, True, False, False, False, False, False, False, True]"
4,"['salt and freshly ground black pepper', 'dry angel hair pasta', 'olive oil', 'can  plum tomatoes', 'garlic', 'anchovy fillets', 'crushed red pepper flakes', 'roughly chopped pitted black olives', 'drained jarred capers', 'chopped fresh parsley leaves', 'Parmesan']","[1.0, 12.0, 3.0, 28.0, 6.0, 4.0, 0.25, 0.5, 3.0, 2.0, 1.0]","['to taste', 'ounce', 'tablespoon', 'whole', 'clove', 'whole', 'teaspoon', 'cup', 'tablespoon', 'tablespoon', 'to taste']","[True, False, False, False, False, False, False, False, False, False, True]"
5,"['all purpose flour', 'yellow cornmeal', 'sugar', 'baking powder', 'kosher salt', 'unsalted butter', 'egg', 'low fat buttermilk', 'shredded sharp Cheddar', 'canned corn', 'dried chives', 'suggestions: butter and maple syrup']","[0.5, 0.5, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.5, 0.3333333333333333, 1.0, 1.0]","['cup', 'cup', 'tablespoon', 'tablespoon', 'teaspoon', 'tablespoon', 'large', 'cup', 'cup', 'cup', 'tablespoon', 'to taste']","[False, False, False, False, False, False, False, False, False, True, False, True]"
6,"['white rice', 'milk', 'sugar', 'butter', 'raisins', 'vanilla extract', 'lemon', 'cinnamon']","[3.0, 3.0, 0.6666666666666666, 2.0, 0.5, 1.0, 1.0, 1.0]","['cup', 'cup', 'cup', 'tablespoon', 'cup', 'teaspoon', 'whole', 'teaspoon']","[False, False, False, False, False, False, False, False]"
7,"['low sodium chicken stock', 'package cheese tortellini', 'package frozen chopped spinach', 'minced garlic', 'basil', 'salt and freshly ground black pepper', 'cheese']","[6.0, 9.0, 10.0, 1.0, 1.0, 1.0, 1.0]","['cup', 'whole', 'whole', 'teaspoon', 'to taste', 'to taste', 'to taste']","[False, False, False, False, True, True, True]"
8,"['challah bread', 'chocolate hazelnut spread', 'chopped hazelnuts', 'unsalted butter', 'sugar']","[8.0, 0.3333333333333333, 0.25, 1.0, 1.0]","['slice', 'cup', 'cup', 'tablespoon', 'to taste']","[False, False, False, False, True]"
9,"['salt', 'extra virgin olive oil', 'garlic', 'head escarole', 'can chickpeas', 'red pepper flakes', 'gemelli or fusilli pasta', 'grated parmesan cheese']","[1.0, 0.25, 6.0, 1.0, 1.0, 0.25, 12.0, 0.5]","['to taste', 'cup', 'clove', 'large', 'whole', 'teaspoon', 'ounce', 'cup']","[True, False, False, False, False, False, False, False]"
10,"['unsalted butter', 'bacon', 'onion', 'carrot', 'celery', 'garlic', 'all purpose flour', 'low sodium chicken broth', 'parsley', 'fresh thyme', 'bay leaf', 'heavy cream', 'kosher salt', 'ground black pepper']","[4.0, 1.0, 1.0, 1.0, 1.0, 4.0, 5.0, 4.0, 3.0, 3.0, 1.0, 1.0, 1.0, 1.0]","['tablespoon', 'slice', 'whole', 'whole', 'stalk', 'clove', 'tablespoon', 'whole', 'whole', 'whole', 'whole', 'cup', 'whole', 'to taste']","[False, False, False, False, False, False, False, False, False, False, False, False, False, True]"
11,"['quinoa', 'long grain rice', 'unsalted butter', 'low sodium chicken broth or water', 'salt']","[0.5, 0.5, 1.0, 2.0, 1.0]","['cup', 'cup', 'tablespoon', 'cup', 'to taste']","[False, False, False, False, True]"
12,"['all purpose flour', 'baking powder', 'baking soda', 'kosher salt', 'evaporated milk', 'applesauce', 'brown sugar', 'vegetable oil', 'vanilla', 'sugar']","[2.0, 2.0, 0.75, 0.5, 1.0, 0.5, 0.3333333333333333, 3.0, 1.0, 1.0]","['whole', 'teaspoon', 'teaspoon', 'teaspoon', 'whole', 'cup', 'cup', 'tablespoon', 'teaspoon', 'to taste']","[False, False, False, False, False, False, False, False, False, True]"
13,"['all purpose flour', 'creamy unsweetened peanut butter', 'packed brown sugar', 'granulated sugar', 'butter', 'heavy cream', 'vanilla extract', 'kosher salt', 'quick cooking oats', 'candy coated chocolates']","[0.5, 0.5, 0.5, 0.5, 1.0, 2.0, 1.0, 0.25, 1.0, 0.75]","['cup', 'cup', 'cup', 'cup', 'whole', 'tablespoon', 'tablespoon', 'teaspoon', 'cup', 'cup']","[False, False, False, False, False, False, False, False, False, False]"
14,"['pancetta', 'salt and freshly ground black pepper', 'eggs', 'heavy cream', 'freshly grated Parmesan', 'dried penne', 'chopped fresh parsley leaves']","[1.0, 1.0, 6.0, 0.5, 1.0, 1.0, 4.0]","['pound', 'to taste', 'whole', 'cup', 'whole', 'pound', 'tablespoon']","[False, True, False, False, False, False, False]"
15,"['russet or Yukon gold potatoes', 'unsalted butter', 'kielbasa', 'sweet onion', 'caraway seeds or dill seed', 'eggs', 'salt and freshly ground pepper', 'chopped fresh parsley', 'scallions']","[3.0, 2.0, 0.5, 1.0, 0.5, 8.0, 1.0, 2.0, 2.0]","['whole', 'tablespoon', 'pound', 'large', 'teaspoon', 'large', 'to taste', 'tablespoon', 'whole']","[False, False, False, False, False, False, True, False, False]"
16,"['long grain white rice', 'broccoli florets', 'canola oil', 'garlic', 'scallions', 'finely grated peeled fresh ginger', 'low sodium chicken broth', 'soy sauce', 'packed brown sugar', 'honey', 'kosher salt', 'freshly ground black pepper', 'frozen chicken breasts', 'cornstarch']","[1.0, 4.0, 2.0, 2.0, 2.0, 1.0, 0.3333333333333333, 3.0, 2.0, 2.0, 0.25, 0.25, 2.0, 2.0]","['cup', 'cup', 'tablespoon', 'clove', 'whole', 'teaspoon', 'cup', 'tablespoon', 'tablespoon', 'tablespoon', 'teaspoon', 'teaspoon', 'whole', 'teaspoon']","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
17,"['salt', 'linguine', 'jarred roasted red peppers', 'roasted  almonds', 'seasoned Italian breadcrumbs', 'sherry vinegar', 'granulated garlic', 'smoked sweet paprika', 'olive oil', 'salt and freshly ground black pepper']","[1.0, 1.0, 1.0, 0.5, 0.3333333333333333, 2.0, 1.0, 0.5, 5.0, 1.0]","['to taste', 'pound', 'cup', 'cup', 'cup', 'tablespoon', 'teaspoon', 'teaspoon', 'tablespoon', 'to taste']","[True, False, False, False, False, False, False, False, False, True]"
18,"['basmati rice', 'vegetable oil', 'onion', 'salt and freshly ground black pepper', 'curry powder', 'garlic', 'vegetable stock', 'cans chickpeas', 'can coconut milk', 'honey', 'sriracha sauce', 'bread', 'fresh cilantro']","[2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 15.0, 13.0, 1.0, 1.0, 1.0, 1.0]","['cup', 'tablespoon', 'large', 'to taste', 'teaspoon', 'clove', 'cup', 'whole', 'whole', 'tablespoon', 'tablespoon', 'to taste', 'to taste']","[False, False, False, True, False, False, False, False, False, False, False, True, True]"
19,"['salt', 'spaghetti', 'garlic', 'extra virgin olive oil', 'red pepper flakes', 'chopped flat leaf parsley', 'lemon', 'grated Parmigiano-Reggiano']","[1.0, 1.0, 3.0, 0.5, 1.0, 2.0, 0.5, 1.0]","['to taste', 'pound', 'clove', 'cup', 'to taste', 'tablespoon', 'zest', 'to taste']","[True, False, False, False, True, False, True, True]"
20,"['olive oil', 'can corn kernels', 'tomato paste', 'dried rosemary', 'dried oregano', 'chicken broth', 'can diced tomatoes', 'pasta', 'can white beans', 'soy sauce', 'salt and freshly ground black pepper', 'can cut green beans']","[1.0, 8.0, 2.0, 0.5, 0.25, 1.0, 14.0, 0.75, 14.0, 1.0, 1.0, 14.0]","['tablespoon', 'whole', 'tablespoon', 'teaspoon', 'teaspoon', 'quart', 'whole', 'cup', 'whole', 'teaspoon', 'to taste', 'whole']","[False, False, False, False, False, False, False, False, False, False, True, False]"
21,"['vegetable oil', 'onion', 'carrot', 'bell pepper', 'ketchup', 'garlic', 'dried brown lentils', 'dried oregano', 'salt and freshly ground pepper', 'salt and freshly ground pepper', 'ground beef', 'Worcestershire sauce', 'wheat hamburger buns', 'cheddar cheese', 'pickles and/or pickled jalapeno peppers']","[2.0, 0.5, 1.0, 0.5, 0.5, 1.0, 0.5, 0.25, 1.0, 1.0, 8.0, 1.0, 6.0, 6.0, 1.0]","['tablespoon', 'small', 'small', 'whole', 'cup', 'clove', 'cup', 'teaspoon', 'to taste', 'to taste', 'ounce', 'tablespoon', 'whole', 'slice', 'to taste']","[False, False, False, False, False, False, False, False, True, True, False, False, False, False, True]"
22,"['salt', 'wheat spaghetti', 'crunchy peanut butter', 'red curry paste', 'rice wine vinegar', 'lime', 'fresh cilantro leaves', 'scallions', 'cucumber', 'carrot', 'pepper flakes or chili paste']","[1.0, 12.0, 0.6666666666666666, 1.0, 2.0, 1.0, 0.3333333333333333, 2.0, 1.0, 1.0, 1.0]","['to taste', 'ounce', 'cup', 'tablespoon', 'teaspoon', 'whole', 'cup', 'whole', 'whole', 'large', 'to taste']","[True, False, False, False, False, False, False, False, False, False, True]"
23,"['vegetable oil', 'tomato paste', 'chipotle in adobo', 'chili powder', 'dried oregano', 'jars mild salsa', 'cans beans', 'cans beans', 'can hominy or corn', 'long grain white rice', 'cider vinegar', 'Suggestions: Tortilla chips and d pickled jalapenos']","[3.0, 3.0, 1.0, 3.0, 1.0, 16.0, 15.0, 15.0, 15.0, 1.0, 0.25, 1.0]","['tablespoon', 'tablespoon', 'whole', 'tablespoon', 'teaspoon', 'whole', 'whole', 'whole', 'whole', 'cup', 'cup', 'to taste']","[False, False, False, False, False, False, False, False, False, False, False, True]"
24,"['mini marshmallows', 'dark chocolate bars', 'graham crackers']","[2.0, 1.0, 6.0]","['cup', 'pound', 'whole']","[False, False, False]"
25,"['cans white meat tuna packed in water', 'minced celery', 'minced red onion', 'minced flat leaf parsley', 'prepared mayonnaise', 'grain mustard', 'ground black pepper', 'squeezed lemon juice']","[6.0, 2.0, 2.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0]","['whole', 'tablespoon', 'tablespoon', 'teaspoon', 'cup', 'tablespoon', 'to taste', 'to taste']","[False, False, False, False, False, False, True, True]"
26,"['bags microwave popcorn', 'scallions', 'butter', 'seasoning packets from chicken flavored ramen', 'garlic']","[3.0, 4.0, 1.0, 2.0, 2.0]","['whole', 'whole', 'whole', 'whole', 'clove']","[False, False, False, False, False]"
27,"['red onion', 'olive oil', 'can diced tomatoes with juice', 'chicken stock or white wine', 'assorted olives', 'jar artichoke hearts', 'garlic', 'and freshly ground black pepper', 'and freshly ground black pepper', 'pasta', 'jarred pesto', 'fork chunked feta', 'dry toasted pine nuts']","[0.5, 2.0, 14.0, 0.3333333333333333, 0.3333333333333333, 1.0, 2.0, 1.0, 1.0, 8.0, 2.0, 0.5, 3.0]","['whole', 'tablespoon', 'whole', 'cup', 'cup', 'whole', 'clove', 'to taste', 'to taste', 'ounce', 'tablespoon', 'cup', 'tablespoon']","[False, False, False, False, False, False, False, True, True, False, False, False, False]"
28,"['tahini', 'soy sauce', 'rice vinegar', 'sugar', 'water', 'spinach', 'sesame oil', 'salt', 'sesame seeds']","[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","['tablespoon', 'teaspoon', 'teaspoon', 'teaspoon', 'teaspoon', 'pound', 'teaspoon', 'to taste', 'to taste']","[False, False, False, False, False, False, False, True, True]"
29,"['can San Marzano plum tomatoes', 'extra virgin olive oil', 'salt', 'instant polenta', 'ground pepper', 'bunches Swiss chard', 'unsalted butter', 'package farmer cheese']","[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 1.0]","['whole', 'tablespoon', 'to taste', 'cup', 'to taste', 'whole', 'tablespoon', 'whole']","[False, False, True, False, True, False, False, False]"
30,"['cooked black beans', 'garlic', 'olive oil', 'lemon juice', 'white wine vinegar', 'ground cumin', 'salt and freshly ground black pepper', 'head iceberg lettuce']","[1.0, 1.0, 2.0, 2.0, 1.0, 0.5, 1.0, 0.5]","['cup', 'whole', 'tablespoon', 'tablespoon', 'tablespoon', 'teaspoon', 'to taste', 'whole']","[False, False, False, False, False, False, True, False]"
31,"['package frozen artichoke hearts', 'half and half', 'garlic', 'red pepper flakes', 'salt', 'frozen peas', 'finely grated lemon', 'fresh lemon juice', 'refrigerated cheese agnolotti', 'finely grated parmesan cheese', 'torn fresh basil leaves']","[1.0, 1.0, 1.0, 0.125, 1.0, 1.0, 1.0, 2.0, 1.0, 0.25, 0.25]","['whole', 'cup', 'clove', 'teaspoon', 'to taste', 'cup', 'zest', 'teaspoon', 'pound', 'cup', 'cup']","[False, False, False, False, True, False, False, False, False, False, False]"
32,"['ramen noodles', 'olive oil', 'bag frozen stir fry veggie medley', 'creamy peanut butter', 'sweet chili sauce', 'low sodium soy sauce', 'lime', 'finely chopped green onion', 'red pepper flakes', 'shredded rotisserie chicken']","[10.0, 2.0, 12.0, 0.5, 6.0, 2.0, 1.0, 0.5, 2.0, 3.0]","['ounce', 'tablespoon', 'whole', 'cup', 'tablespoon', 'tablespoon', 'whole', 'cup', 'teaspoon', 'cup']","[False, False, False, False, False, False, False, False, False, False]"
33,"['vegetable oil', 'egg', 'scallions', 'curry powder', 'salt and freshly ground black pepper', 'cooked rice', 'oil']","[1.0, 1.0, 6.0, 2.0, 1.0, 4.0, 1.0]","['whole', 'large', 'whole', 'teaspoon', 'to taste', 'cup', 'to taste']","[False, False, False, False, True, False, True]"
34,"['old fashioned rolled oats', 'extra crunchy peanut butter', 'raw honey', 'mini chocolate chips', 'dried cranberries', 'sunflower seeds', 'flax seed']","[2.0, 1.0, 0.5, 0.5, 0.5, 0.5, 2.0]","['cup', 'cup', 'cup', 'cup', 'cup', 'cup', 'tablespoon']","[False, False, False, False, False, False, False]"
35,"['tomatoes', 'tomato paste', 'water', 'red wine vinegar', 'ginger', 'garlic', 'salt', 'ground turmeric', 'olive oil', 'couscous', 'cilantro']","[2.0, 2.0, 1.125, 1.0, 2.0, 1.0, 0.75, 0.25, 2.0, 1.0, 1.0]","['whole', 'tablespoon', 'cup', 'tablespoon', 'inch piece', 'clove', 'teaspoon', 'teaspoon', 'tablespoon', 'cup', 'to taste']","[False, False, False, False, False, False, False, False, False, False, True]"
36,"['salt', 'mezzi rigatoni', 'extra virgin olive oil', 'shrimp', 'red pepper flakes', 'shallot or red onion', 'white wine or low sodium chicken broth', 'can no salt added diced tomatoes', 'torn fresh basil', 'heavy cream']","[1.0, 12.0, 1.0, 1.0, 0.5, 1.0, 0.25, 1.0, 0.5, 2.0]","['to taste', 'ounce', 'tablespoon', 'pound', 'teaspoon', 'medium', 'cup', 'whole', 'cup', 'tablespoon']","[True, False, False, False, False, False, False, False, False, False]"
37,"['all purpose flour', 'sugar', 'baking powder', 'salt', 's unsweetened plain soy milk', 'virgin coconut oil', 'pure vanilla extract', 'vegetable oil', 'syrup']","[2.0, 3.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 4.0, 1.0]","['cup', 'tablespoon', 'tablespoon', 'to taste', 'whole', 'cup', 'teaspoon', 'teaspoon', 'to taste']","[False, False, False, True, False, False, False, False, True]"
38,"['salt', 'packages mushroom ravioli', 'ground pepper', 'unsalted butter', 'heavy cream', 'frozen peas', 'grated parmesan cheese', 'freshly grated nutmeg', 'chopped fresh parsley']","[1.0, 2.0, 1.0, 4.0, 0.5, 1.0, 0.5, 1.0, 2.0]","['to taste', 'whole', 'to taste', 'tablespoon', 'cup', 'cup', 'cup', 'to taste', 'tablespoon']","[True, False, True, False, False, False, False, True, False]"
39,"['can corn with red and green peppers', 'can meat only chili', 'can kidney beans', 'can pinto beans', 'can black beans', 'can diced tomatoes', 'can diced tomatoes with green chiles', 'and freshly ground black pepper', 'processed cheese']","[15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 10.0, 1.0, 8.0]","['whole', 'whole', 'whole', 'whole', 'whole', 'whole', 'whole', 'to taste', 'ounce']","[False, False, False, False, False, False, False, True, False]"
40,"['bacon', 'white onion', 'garlic', 'minced peeled ginger', 'tomato paste', 'bottles root beer', 'apple cider vinegar', 'molasses', 'grainy mustard', 'pinch  red pepper flakes', 'garam masala', 'cans cannellini beans', 'salt and freshly ground pepper']","[4.0, 1.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.25, 4.0, 1.0]","['slice', 'large', 'clove', 'tablespoon', 'tablespoon', 'whole', 'tablespoon', 'teaspoon', 'tablespoon', 'to taste', 'teaspoon', 'whole', 'to taste']","[False, False, False, False, False, False, False, False, False, True, False, False, True]"
41,"['extra virgin olive oil', 'ground turkey breast', 'onion', 'garlic', 'chili powder', 'chipotles in adobo', 'Salt', 'Mexican beer', 'chicken stock', 'can red kidney beans', 'shredded pepper jack cheese', 'butter']","[2.0, 2.0, 1.0, 3.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0]","['tablespoon', 'pound', 'medium', 'clove', 'whole', 'whole', 'Salt', 'cup', 'cup', 'whole', 'whole', 'tablespoon']","[False, False, False, False, False, False, True, False, False, False, False, False]"
42,"['salt and freshly ground black pepper', 'cans cannellini or white beans', 'egg yolks', 'grated Parmesan', 'thick cut bacon', 'garlic', 'fresh parsley leaves']","[1.0, 14.0, 3.0, 1.0, 4.0, 1.0, 0.5]","['to taste', 'whole', 'large', 'cup', 'slice', 'clove', 'cup']","[True, False, False, False, False, False, False]"
43,"['liquor', 'sour', 'sweet', 'enhancer', 'fizzy topper', 'garnish']","[2.0, 1.0, 1.0, 1.0, 2.0, 1.0]","['ounce', 'whole', 'ounce', 'to taste', 'ounce', 'to taste']","[False, False, False, True, True, True]"
